team,player_id,player_name,position,status,impact_score,penalty,scheme_notes
CIN,MANUAL_CIN_JOE_BURROW,Joe Burrow,QB,OUT,0.55,,"Position weights (v2025-10-22b): QB=1.00; WR=0.28; RB=0.24; TE=0.12; EDGE=0.08; team cap 20%; logit_scale 2.1"
SF,MANUAL_SF_BROCK_PURDY,Brock Purdy,QB,QUESTIONABLE,0.35,,
ARI,MANUAL_ARI_KYLER_MURRAY,Kyler Murray,QB,QUESTIONABLE,0.40,,
LAR,MANUAL_LAR_PUKA_NACUA,Puka Nacua,WR,QUESTIONABLE,0.38,,
PIT,MANUAL_PIT_CALVIN_AUSTIN,Calvin Austin III,WR,QUESTIONABLE,0.10,,
PIT,MANUAL_PIT_MILES_KILLEBREW,Miles Killebrew,S,OUT,0.10,,
PIT,MANUAL_PIT_DESHON_ELLIOTT,DeShon Elliott,S,QUESTIONABLE,0.05,,
CIN,MANUAL_CIN_MIKE_GESICKI,Mike Gesicki,TE,OUT,0.24,,
CIN,MANUAL_CIN_TREY_HENDRICKSON,Trey Hendrickson,EDGE,QUESTIONABLE,0.18,,
NYG,MANUAL_NYG_MALIK_NABERS,Malik Nabers,WR,OUT,0.14,,
TB,MANUAL_TB_MIKE_EVANS,Mike Evans,WR,INJURED RESERVE,0.42,,
